name,league,age,height,position,erfolge,caps,goalsCap,follower,club,contractYear,country,appearances,goals_nilnilgames,assists_conceded,minuted,price
Lukas Kübler,3,29,1.81,1,0.6524036289061143,0.0,0.0,21.078405093654098,1,0.5397260273972603,1,4.25416370990589,4.25416370990589,4.25416370990589,1.078,1.5
Pawel Dawidowicz,2,26,1.89,1,0.5,23.053409214495208,0.0,21.971544318754244,1,3.5424657534246577,1,14.545081794683426,14.545081794683426,14.545081794683426,1.275,4.0
Lauri Ala-Myllymäki,2,24,1.82,2,0.5780590717299579,25.158857928096786,0.0,24.372787669480697,1,2.5424657534246577,1,-8.377989610943294,-8.377989610943294,-8.377989610943294,16.771,0.45
Linus Gechter,5,17,1.838782122905028,1,0.5,14.545081794683426,7.272540897341713,21.10318748189415,1,0.5397260273972603,1,-3.742254444079303,-3.742254444079303,-3.742254444079303,507.0,0.7
Kevin Lasagna,2,29,1.81,3,0.5780590717299579,21.81762269202514,0.0,26.48713461968771,1,0.5397260273972603,1,16.886317030755073,16.886317030755073,16.886317030755073,271.0,5.0
Roger Ibañez,2,23,1.86,1,0.5,20.416603484017482,0.0,29.120427970841735,1,3.5424657534246577,2,33.772634061510146,33.772634061510146,33.772634061510146,1.864,25.0
Luca Kilian,3,22,1.92,1,0.5780590717299579,21.81762269202514,7.272540897341713,22.069287510396254,1,0.5397260273972603,1,2.7527412602319488,2.7527412602319488,2.7527412602319488,678.0,1.3
Nikola Maksimovic,2,30,1.93,1,0.6524036289061143,34.18414008567045,0.0,25.022539891280278,1,3.5424657534246577,1,21.140480740660962,21.140480740660962,21.140480740660962,414.0,7.5
Igor,2,23,1.85,1,0.7788957599217969,0.0,0.0,25.232017711852112,1,2.5424657534246577,2,16.886317030755073,16.886317030755073,16.886317030755073,577.0,5.0
Roberto Torres,1,32,1.78,2,0.5,0.0,0.0,25.226143226830093,1,1.5397260273972602,1,16.886317030755073,16.886317030755073,16.886317030755073,575.0,5.0
Jordan Lukaku,2,27,1.77,1,0.9254276333541454,23.053409214495208,0.0,28.726894826821468,1,0.5397260273972603,1,4.25416370990589,4.25416370990589,4.25416370990589,14.405,1.5
Nishan Burkart,3,21,1.75,3,0.5780590717299579,20.416603484017482,0.0,22.18541816681706,1,0.5397260273972603,1,-12.632153320849184,-12.632153320849184,-12.632153320849184,506.0,0.3
Ibrahima Niane,4,22,1.87,3,0.5,28.413021638002675,20.416603484017482,27.337687161759863,1,2.5424657534246577,4,23.053409214495208,23.053409214495208,23.053409214495208,1.044,9.0
Miguel Baeza,1,21,1.77,2,0.5780590717299579,7.272540897341713,0.0,25.693768542699864,1,3.5424657534246577,1,9.61377613341336,9.61377613341336,9.61377613341336,91.0,2.5
Magnus Warming,2,21,1.88,3,0.5,16.886317030755073,0.0,27.21451129009049,1,2.5424657534246577,1,0.0,0.0,0.0,1.0,1.0
Antonio Junior Vacca,2,31,1.7,2,0.6524036289061143,7.272540897341713,0.0,28.657455073292326,1,0.5397260273972603,1,-5.35961242350747,-5.35961242350747,-5.35961242350747,618.0,0.6
Dylan Chambost,4,24,1.77,2,0.5,0.0,0.0,22.749783132225666,1,0.5397260273972603,1,6.167092183740134,6.167092183740134,6.167092183740134,326.0,1.8
Kristoffer Ajer,0,23,1.98,1,0.9444488157226086,34.18414008567045,0.0,28.715229097232832,1,4.542465753424658,1,29.726240679357655,29.726240679357655,29.726240679357655,700.0,17.0
Yayah Kallon,2,20,1.75,3,0.5,0.0,0.0,22.256543283634702,1,0.5397260273972603,4,7.272540897341713,7.272540897341713,7.272540897341713,636.0,2.0
Emmanuel Gyasi,2,27,1.81,3,0.5,14.545081794683426,0.0,24.18833819548759,1,1.5397260273972602,4,9.61377613341336,9.61377613341336,9.61377613341336,1.292,2.5
Vincent Le Goff,4,32,1.77,1,0.5,0.0,0.0,22.379391400709384,1,1.5397260273972602,1,1.9129284738342431,1.9129284738342431,1.9129284738342431,1.26,1.2
Zaydou Youssouf,4,22,1.82,2,0.5,11.526704607247604,0.0,24.502332411655612,1,1.5397260273972602,1,16.886317030755073,16.886317030755073,16.886317030755073,744.0,5.0
Santiago Arias,1,29,1.77,1,0.8686260004029907,42.04517495885186,0.0,35.84056567627738,1,0.5397260273972603,2,16.886317030755073,16.886317030755073,16.886317030755073,330.0,5.0
