name,league,age,height,position,erfolge,caps,goalsCap,follower,club,contractYear,country,appearances,nilnil_games,goals_conceded,minuted,price
Daniele Padelli,2,36,1.91,0,1,0,0,142590.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.4
Alisson,0,29,1.91,0,5,51,0,7112501.0,0,5.53972602739726,2,19.0,10.0,17.0,1.71,60.0
Alessandro Plizzari,2,21,1.87,0,1,2,0,145598.0,0,1.536986301369863,1,0.0,0.0,0.0,0.0,1.5
Gaëtan Poussin,4,22,1.86,0,0,0,0,8074.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,1.0
Vito Mannone,4,33,1.88,0,0,8,0,24608.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.8
Rui Patrício,2,33,1.9,0,7,102,0,803531.0,1,2.5397260273972604,1,23.0,9.0,29.0,2.07,10.0
Sascha Burchert,3,32,1.87,0,3,2,0,3813.0,1,0.536986301369863,1,6.0,0.0,16.0,540.0,0.6
Vanja Milinković-Savić,2,24,2.02,0,1,1,0,41188.0,1,2.5397260273972604,1,17.0,4.0,17.0,1.56,1.5
Oliver Christensen,3,22,1.9,0,0,14,0,7756.0,1,4.53972602739726,1,8.0,1.0,11.0,720.0,1.5
Ciprian Tatarusanu,2,35,1.98,0,5,73,0,739511.0,0,1.536986301369863,1,9.0,2.0,12.0,810.0,0.6
Daniel Fuzato,2,24,1.9,0,3,0,0,78354.0,1,1.536986301369863,2,0.0,0.0,0.0,0.0,0.8
Davide Marfella,2,22,1.82,0,0,0,0,507681.5,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.05
Tomas Koubek,3,29,1.97,0,1,11,0,28807.0,1,2.5397260273972604,1,0.0,0.0,0.0,0.0,1.5
Marco Molla,2,19,1.92,0,0,1,0,3240.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.075
Asmir Begovic,0,34,1.99,0,4,63,0,261027.0,1,0.536986301369863,1,3.0,0.0,6.0,300.0,1.2
